H1	H2	H3	Angle
3az2H_9	3az2H_9	3az2H_9	 90.000 
3az2H_9	3az2H_9	3az2G_2	 90.000 
3az2H_9	3az2H_9	3az2G_5	 90.000 
3az2H_9	3az2H_9	3az2H_6	 90.000 
3az2H_9	3az2H_9	3az2H_14	 90.000 
3az2H_9	3az2H_9	3az2G_13	 90.000 
3az2H_9	3az2H_9	3az2H_1	 90.000 
3az2H_9	3az2H_9	3az2H_11	 90.000 
3az2H_9	3az2H_9	3az2G_7	 90.000 
3az2H_9	3az2H_9	3az2H_12	 90.000 
3az2H_9	3az2H_9	3az2H_10	 90.000 
3az2H_9	3az2H_9	3az2H_4	 90.000 
3az2H_9	3az2H_9	3az2H_8	 90.000 
3az2H_9	3az2H_9	3az2H_3	 90.000 
3az2H_9	3az2G_2	3az2H_9	 0.000 
3az2H_9	3az2G_2	3az2G_2	 90.000 
3az2H_9	3az2G_2	3az2G_5	 69.116 
3az2H_9	3az2G_2	3az2H_6	 47.525 
3az2H_9	3az2G_2	3az2H_14	 61.781 
3az2H_9	3az2G_2	3az2G_13	 72.387 
3az2H_9	3az2G_2	3az2H_1	 64.644 
3az2H_9	3az2G_2	3az2H_11	 47.454 
3az2H_9	3az2G_2	3az2G_7	 58.833 
3az2H_9	3az2G_2	3az2H_12	 22.723 
3az2H_9	3az2G_2	3az2H_10	 43.097 
3az2H_9	3az2G_2	3az2H_4	 51.557 
3az2H_9	3az2G_2	3az2H_8	 30.172 
3az2H_9	3az2G_2	3az2H_3	 54.103 
3az2H_9	3az2G_5	3az2H_9	 0.000 
3az2H_9	3az2G_5	3az2G_2	 48.182 
3az2H_9	3az2G_5	3az2G_5	 90.000 
3az2H_9	3az2G_5	3az2H_6	 22.594 
3az2H_9	3az2G_5	3az2H_14	 48.093 
3az2H_9	3az2G_5	3az2G_13	 48.067 
3az2H_9	3az2G_5	3az2H_1	 63.798 
3az2H_9	3az2G_5	3az2H_11	 55.198 
3az2H_9	3az2G_5	3az2G_7	 35.577 
3az2H_9	3az2G_5	3az2H_12	 15.877 
3az2H_9	3az2G_5	3az2H_10	 27.430 
3az2H_9	3az2G_5	3az2H_4	 38.268 
3az2H_9	3az2G_5	3az2H_8	 20.183 
3az2H_9	3az2G_5	3az2H_3	 31.893 
3az2H_9	3az2H_6	3az2H_9	 0.000 
3az2H_9	3az2H_6	3az2G_2	 73.127 
3az2H_9	3az2H_6	3az2G_5	 141.325 
3az2H_9	3az2H_6	3az2H_6	 90.000 
3az2H_9	3az2H_6	3az2H_14	 95.539 
3az2H_9	3az2H_6	3az2G_13	 78.358 
3az2H_9	3az2H_6	3az2H_1	 94.895 
3az2H_9	3az2H_6	3az2H_11	 86.345 
3az2H_9	3az2H_6	3az2G_7	 51.604 
3az2H_9	3az2H_6	3az2H_12	 27.260 
